id_componente,anio,mes,ftes
512,2022,2,0.0959
513,2022,2,0.1103
514,2022,2,0.368
515,2022,2,0
516,2022,2,0
517,2022,2,0.1034
518,2022,2,0
520,2022,2,0.2249
521,2022,2,0.1378
522,2022,2,0
523,2022,2,0
525,2022,2,0
526,2022,2,1.5283
527,2022,2,0.0401
528,2022,2,0.0135
529,2022,2,0
530,2022,2,0
531,2022,2,0
533,2022,2,0.0905
534,2022,2,0.0515
2,2022,3,0.2362
3,2022,3,1.5775
4,2022,3,0.3873
5,2022,3,1.7559
17,2022,3,0.3209
18,2022,3,3.2578
20,2022,3,0.4064
22,2022,3,2.883
24,2022,3,3.5299
25,2022,3,0
28,2022,3,16.1614
30,2022,3,0.4463
31,2022,3,0.7937
33,2022,3,1.7678
34,2022,3,0.5659
43,2022,3,1.4138
45,2022,3,2.3294
46,2022,3,0.0383
49,2022,3,2.3272
50,2022,3,8.4399
52,2022,3,0.4011
66,2022,3,0.1268
69,2022,3,0.5154
73,2022,3,0.8472
74,2022,3,1.9118
76,2022,3,1.865
77,2022,3,0.3008
79,2022,3,0.0206
80,2022,3,9.7313
82,2022,3,3.7422
84,2022,3,3.9917
85,2022,3,0
88,2022,3,0.4737
89,2022,3,0
90,2022,3,0
91,2022,3,87.1706
92,2022,3,0.569
93,2022,3,6.9808
95,2022,3,0
96,2022,3,2.8476
99,2022,3,0
100,2022,3,0
104,2022,3,2.3513
105,2022,3,4.244
108,2022,3,1.0829
112,2022,3,0.635
113,2022,3,0.1212
114,2022,3,0.1326
116,2022,3,22.3913
119,2022,3,1.094
122,2022,3,27.8396
125,2022,3,0.009
136,2022,3,0.4345
137,2022,3,1.1341
138,2022,3,2.5749
139,2022,3,1.5508
142,2022,3,2.0273
145,2022,3,0
149,2022,3,1.8663
151,2022,3,0.0456
152,2022,3,2.1939
155,2022,3,0.8165
169,2022,3,0.0011
170,2022,3,4.2563
177,2022,3,5.3613
178,2022,3,1.4205
204,2022,3,0.7567
206,2022,3,0.7066
212,2022,3,5.3451
216,2022,3,0.1243
218,2022,3,0
226,2022,3,4.9937
227,2022,3,0
228,2022,3,0.8981
229,2022,3,19.3996
233,2022,3,0.6022
258,2022,3,0.6183
263,2022,3,2.3108
269,2022,3,0
270,2022,3,0
271,2022,3,0
272,2022,3,0
274,2022,3,4.2738
275,2022,3,0.1471
279,2022,3,0
280,2022,3,0
281,2022,3,0
282,2022,3,3.7454
283,2022,3,0.1911
286,2022,3,0
287,2022,3,0
290,2022,3,4.4984
296,2022,3,0.0009
297,2022,3,0.0007
298,2022,3,2.3308
304,2022,3,0.5569
307,2022,3,0.1059
311,2022,3,7.3965
314,2022,3,0.012
315,2022,3,0.3644
316,2022,3,5.0395
317,2022,3,0.932
319,2022,3,0.3088
320,2022,3,5.0802
321,2022,3,4.1932
323,2022,3,2.5864
326,2022,3,0
329,2022,3,0
330,2022,3,1.2034
332,2022,3,0.9175
333,2022,3,2.6101
335,2022,3,0.9748
336,2022,3,1.4252
340,2022,3,7.554
342,2022,3,1.2863
346,2022,3,0.1992
347,2022,3,0.7225
348,2022,3,0.6353
349,2022,3,0
350,2022,3,0.0076
352,2022,3,3.703
354,2022,3,0
355,2022,3,0.0307
356,2022,3,0.0646
363,2022,3,0.4537
364,2022,3,0
365,2022,3,0.9422
366,2022,3,0.7202
367,2022,3,0
369,2022,3,0
370,2022,3,0.0008
371,2022,3,0.0003
372,2022,3,0
373,2022,3,0.0005
374,2022,3,0
375,2022,3,0
376,2022,3,0
377,2022,3,0.0514
379,2022,3,0.3125
382,2022,3,0.9522
383,2022,3,0
384,2022,3,0.0005
385,2022,3,3.5454
386,2022,3,0.581
388,2022,3,0.076
389,2022,3,2.1941
390,2022,3,1.6227
391,2022,3,0.8816
392,2022,3,0
393,2022,3,0.3415
394,2022,3,0.1103
395,2022,3,0.2278
396,2022,3,1.0929
399,2022,3,0
401,2022,3,1.8881
402,2022,3,2.4461
403,2022,3,0.0358
404,2022,3,0.3223
406,2022,3,0.0002
407,2022,3,0.0001
408,2022,3,0.0005
409,2022,3,0.1939
410,2022,3,2.0316
411,2022,3,3.1584
412,2022,3,0
415,2022,3,1.9825
416,2022,3,0
417,2022,3,0.9844
418,2022,3,1.7257
419,2022,3,2.8625
420,2022,3,0.4189
421,2022,3,4.1381
424,2022,3,2.0637
425,2022,3,0
426,2022,3,1.6263
